City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
344,Waynesville,35.4887,-82.9887,31.16,63,97,0.45,US,2021-08-24 18:58:35,overcast clouds
345,Oistins,13.0667,-59.5333,31.05,70,40,9.26,BB,2021-08-24 18:49:00,scattered clouds
346,Kattivakkam,13.2167,80.3167,29.05,73,20,6.39,IN,2021-08-24 18:58:35,few clouds
347,Salalah,17.0151,54.0924,25.55,89,91,2.35,OM,2021-08-24 18:58:35,overcast clouds
348,Dubti,11.7361,41.0853,31.86,39,100,1.91,ET,2021-08-24 18:58:36,overcast clouds
349,Alberton,46.8168,-64.0654,22.07,93,100,7.5,CA,2021-08-24 18:58:36,light rain
350,Nizhneivkino,58.194,49.5214,12.01,88,74,2.05,RU,2021-08-24 18:58:36,broken clouds
351,Bull Savanna,17.8868,-77.5902,29.77,63,70,3.4,JM,2021-08-24 18:58:37,broken clouds
352,Baglan,36.1307,68.7083,25.47,20,0,1.45,AF,2021-08-24 18:58:37,clear sky
353,Binga,-17.6203,27.3414,23.35,50,9,1.68,ZW,2021-08-24 18:58:37,clear sky
354,Bolshaya Martynovka,47.271,41.6679,18.09,45,94,3.15,RU,2021-08-24 18:58:38,overcast clouds
355,Guia De Isora,28.2115,-16.7795,21.51,71,0,1.79,ES,2021-08-24 18:58:38,clear sky
356,San Cristobal,7.7669,-72.225,28.1,46,60,3.42,VE,2021-08-24 18:49:33,broken clouds
357,Eyl,7.9803,49.8164,25.22,79,7,9.81,SO,2021-08-24 18:58:38,clear sky
358,Sindor,62.8629,51.8905,7.74,97,14,2.23,RU,2021-08-24 18:58:38,few clouds
359,Praia Da Vitoria,38.7333,-27.0667,24.14,64,20,6.69,PT,2021-08-24 18:58:39,few clouds
360,Villa Bruzual,9.3328,-69.1208,27.39,84,100,1.47,VE,2021-08-24 18:58:39,overcast clouds
361,Port-Gentil,-0.7193,8.7815,24.98,83,75,6.17,GA,2021-08-24 18:58:39,broken clouds
362,Biltine,14.5333,20.9167,30.38,48,28,3.04,TD,2021-08-24 18:58:40,scattered clouds
363,Tikhvin,59.6451,33.5294,8.79,97,61,1.75,RU,2021-08-24 18:58:40,broken clouds
364,Kemijarvi,66.7131,27.4306,6.81,76,100,2.51,FI,2021-08-24 18:58:40,overcast clouds
365,Oussouye,12.485,-16.5469,31.1,78,100,2.78,SN,2021-08-24 18:58:40,overcast clouds
366,Viseu,40.661,-7.9097,20.2,39,4,2.09,PT,2021-08-24 18:58:41,clear sky
367,Faya,18.3851,42.4509,20.29,45,100,2.99,SA,2021-08-24 18:58:41,overcast clouds
368,Lubango,-14.9172,13.4925,16.47,33,0,1.97,AO,2021-08-24 18:54:17,clear sky
369,Sembe,1.6481,14.5806,22.03,96,100,1.29,CG,2021-08-24 18:58:41,moderate rain
370,Chlorakas,34.8042,32.4083,27.57,64,0,1.54,CY,2021-08-24 18:58:42,clear sky
371,Horta,38.5333,-28.6333,23.8,53,20,2.57,PT,2021-08-24 18:58:42,few clouds
372,Back Mountain,41.3359,-75.9963,30.73,58,4,2.68,US,2021-08-24 18:54:58,clear sky
373,Guarapari,-20.6667,-40.4975,25.94,72,0,8.09,BR,2021-08-24 18:58:42,clear sky
374,Ubinskoye,55.3068,79.6802,16.61,80,1,2.82,RU,2021-08-24 18:58:42,clear sky
375,Gubkinskiy,64.434,76.5026,16.78,56,100,2.89,RU,2021-08-24 18:58:43,overcast clouds
376,Leh,34.1667,77.5833,19.93,30,2,2.25,IN,2021-08-24 18:50:44,clear sky
377,Donnacona,46.6804,-71.7239,31.33,55,2,3.6,CA,2021-08-24 18:57:54,clear sky
378,Dese,11.1333,39.6333,12.3,67,79,1.6,ET,2021-08-24 18:50:56,broken clouds
379,Skuodas,56.2667,21.5333,12.92,69,100,2.07,LT,2021-08-24 18:58:43,overcast clouds
380,Plaster Rock,46.9065,-67.39,27.84,87,35,2.87,CA,2021-08-24 18:58:44,scattered clouds
381,Bettiah,26.8,84.5,26.56,91,100,0.86,IN,2021-08-24 18:58:44,light rain
382,Hatta,24.1167,79.6,24.93,92,99,3.85,IN,2021-08-24 18:58:44,overcast clouds
383,Contamana,-7.3333,-75.0167,39.22,24,20,2.17,PE,2021-08-24 18:58:44,few clouds
384,Santa Luzia,-19.7697,-43.8514,31.08,26,0,3.6,BR,2021-08-24 18:58:45,clear sky
385,Haldia,22.0605,88.1097,28.85,81,100,4.77,IN,2021-08-24 18:58:45,overcast clouds
386,Limon,10.0,-83.0333,30.94,70,75,5.66,CR,2021-08-24 18:58:45,broken clouds
387,Maralal,1.0968,36.698,16.83,48,100,4.06,KE,2021-08-24 18:58:45,overcast clouds
388,Kutum,14.2,24.6667,26.63,45,86,2.57,SD,2021-08-24 18:51:27,overcast clouds
389,Halifax,44.6453,-63.5724,28.94,74,20,2.24,CA,2021-08-24 18:47:52,few clouds
390,Rawson,-43.3002,-65.1023,11.12,35,40,8.9,AR,2021-08-24 18:49:56,scattered clouds
391,Bani Walid,31.7566,13.9942,26.91,45,0,6.81,LY,2021-08-24 18:58:46,clear sky
392,Qasigiannguit,68.8193,-51.1922,3.53,95,100,0.18,GL,2021-08-24 18:58:46,overcast clouds
393,Aripuana,-9.1667,-60.6333,39.45,17,6,1.29,BR,2021-08-24 18:50:24,clear sky
394,Vangaindrano,-23.35,47.6,20.54,82,100,3.57,MG,2021-08-24 18:58:47,overcast clouds
395,Gangapur,26.4833,76.7167,29.88,65,100,4.45,IN,2021-08-24 18:58:47,heavy intensity rain
396,Saint-Louis,16.3333,-15.0,35.8,41,60,4.31,SN,2021-08-24 18:58:47,broken clouds
397,Duvan,55.695,57.9024,20.07,54,100,1.28,RU,2021-08-24 18:58:47,overcast clouds
398,Cururupu,-1.8283,-44.8683,29.42,63,58,3.19,BR,2021-08-24 18:58:48,broken clouds
399,Santiago De Cao,-7.9589,-79.2392,19.07,72,40,6.69,PE,2021-08-24 18:58:48,scattered clouds
400,Brokopondo,4.75,-55.1667,31.65,52,70,0.66,SR,2021-08-24 18:58:48,broken clouds
401,Kenitra,34.261,-6.5802,22.42,80,68,3.43,MA,2021-08-24 18:56:35,broken clouds
402,Khash,28.2211,61.2158,25.92,14,6,5.1,IR,2021-08-24 18:58:49,clear sky
403,Porto Tolle,44.9497,12.3245,25.62,58,78,3.44,IT,2021-08-24 18:58:49,broken clouds
404,Goderich,43.7501,-81.7165,30.57,69,0,3.09,CA,2021-08-24 18:58:49,clear sky
405,Cockburn Town,21.4612,-71.1419,29.98,66,40,6.17,TC,2021-08-24 18:49:54,scattered clouds
406,Puerto Ayacucho,5.6639,-67.6236,30.56,65,65,1.81,VE,2021-08-24 18:58:50,broken clouds
407,Sept-Iles,50.2001,-66.3821,21.29,83,40,4.63,CA,2021-08-24 18:48:58,scattered clouds
408,Quelimane,-17.8786,36.8883,22.97,83,0,3.09,MZ,2021-08-24 18:50:48,clear sky
409,Havelock,34.8791,-76.9013,32.81,74,75,2.68,US,2021-08-24 18:49:21,broken clouds
410,Caucasia,7.9865,-75.1935,31.75,62,86,2.17,CO,2021-08-24 18:58:50,overcast clouds
411,Atar,20.5169,-13.0499,39.63,18,54,3.39,MR,2021-08-24 18:58:50,broken clouds
412,Boa Viagem,-5.1275,-39.7322,32.69,34,100,3.62,BR,2021-08-24 18:58:51,overcast clouds
413,Paragominas,-2.9667,-47.4833,33.66,36,100,1.01,BR,2021-08-24 18:58:51,overcast clouds
414,Bodden Town,19.2833,-81.25,32.0,70,20,5.14,KY,2021-08-24 18:58:51,few clouds
415,Kalmunai,7.4167,81.8167,26.71,77,56,6.92,LK,2021-08-24 18:49:21,broken clouds
416,Whitley Bay,55.0397,-1.4471,17.83,84,0,1.54,GB,2021-08-24 18:58:52,clear sky
417,Talcahuano,-36.7167,-73.1167,9.92,55,10,6.11,CL,2021-08-24 18:50:32,clear sky
418,Morondava,-20.2833,44.2833,22.63,83,0,5.18,MG,2021-08-24 18:58:52,clear sky
419,Khandbari,27.3747,87.2039,22.88,95,100,0.4,NP,2021-08-24 18:58:52,light rain
420,Ajdabiya,30.7554,20.2263,27.19,67,0,7.86,LY,2021-08-24 18:51:55,clear sky
421,Novogornyy,55.63,60.7919,22.77,37,40,2.79,RU,2021-08-24 18:58:53,scattered clouds
422,Gewane,10.1664,40.6453,30.06,35,43,1.4,ET,2021-08-24 18:58:53,scattered clouds
423,Mongo,12.1844,18.693,27.81,66,15,1.14,TD,2021-08-24 18:58:53,few clouds
424,Boende,-0.2167,20.8667,22.16,97,100,0.48,CD,2021-08-24 18:58:54,light rain
425,Znamenskoye,57.1281,73.8282,19.3,74,26,1.65,RU,2021-08-24 18:58:54,scattered clouds
426,Santa Cruz Do Sul,-29.7175,-52.4258,22.12,69,33,2.66,BR,2021-08-24 18:58:54,scattered clouds
427,Fianarantsoa,-21.4333,47.0833,14.7,88,85,1.46,MG,2021-08-24 18:58:54,overcast clouds
